vic_erp, lga_name11, lga_code_2011, c_total, e_total, d_total, b_total, a_total, ref_period, grand_tot, lga_erp, f_total
5838110,"Moyne (S)",25490,165,259,119,475,332,2014,1358,16336,8
5838110,"Murrindindi (S)",25620,63,64,93,309,131,2014,678,13589,18
5838110,"Nillumbik (S)",25710,76,157,87,1495,302,2014,2126,62849,9
5838110,"Northern Grampians (S)",25810,87,130,107,333,248,2014,916,11715,11
5838110,"Port Phillip (C)",25900,717,981,1325,7474,1340,2014,11867,104813,30
5838110,"Pyrenees (S)",25990,12,23,26,264,96,2014,426,6791,5
5838110,"Queenscliffe (B)",26080,0,3,21,60,2,2014,86,3033,0
5838110,"South Gippsland (S)",26170,70,144,85,675,275,2014,1260,27838,11
5838110,"Southern Grampians (S)",26260,86,141,140,449,216,2014,1045,15906,13
5838110,"Stonnington (C)",26350,467,459,883,6582,800,2014,9253,105946,62
5838110,"Strathbogie (S)",26430,36,33,35,248,124,2014,477,9814,1
5838110,"Surf Coast (S)",26490,45,97,112,773,160,2014,1189,28460,2
5838110,"Swan Hill (RC)",26610,127,382,321,839,443,2014,2115,20574,3
5838110,"Towong (S)",26670,5,16,22,127,72,2014,244,5795,2
5838110,"Wangaratta (RC)",26700,226,373,411,988,431,2014,2437,27108,8
5838110,"Warrnambool (C)",26730,106,280,166,1076,416,2014,2048,33508,4
5838110,"Wellington (S)",26810,187,529,352,2287,924,2014,4291,42174,12
5838110,"West Wimmera (S)",26890,11,40,10,61,37,2014,159,3981,0
5838110,"Whitehorse (C)",26980,311,658,338,5468,977,2014,7783,163646,31
5838110,"Whittlesea (C)",27070,635,1272,596,9764,2020,2014,14309,186843,22
5838110,"Wodonga (RC)",27170,166,475,254,1614,674,2014,3193,38067,10
5838110,"Wyndham (C)",27260,489,1176,723,8931,1683,2014,13188,199645,186
5838110,"Yarra (C)",27350,1099,743,1332,8407,1100,2014,12787,86377,106
5838110,"Yarra Ranges (S)",27450,433,586,551,4485,1257,2014,7344,150036,32
5838110,"Yarriambiack (S)",27630,28,33,66,93,81,2014,302,6884,1
5937481,"Alpine (S)",20110,46,43,101,219,95,2015,512,11858,8
