lga_code,lga_name,c_total,e_total,d_total,b_total,a_total,ref_period,offence_total,lga_erp,f_total
26430,Strathbogie (S),38,19,49,276,73,2013,458,9702,3
26490,Surf Coast (S),46,50,154,758,138,2013,1155,28262,9
26610,Swan Hill (RC),99,242,225,722,415,2013,1708,20849,5
26670,Towong (S),2,25,48,136,58,2013,269,5884,0
26700,Wangaratta (RC),206,249,483,1017,446,2013,2432,27169,31
26730,Warrnambool (C),84,194,179,1080,432,2013,1978,33240,9
26810,Wellington (S),173,423,231,2380,829,2013,4051,42272,15
26890,West Wimmera (S),8,8,9,103,19,2013,149,4084,2
26980,Whitehorse (C),245,264,400,5371,863,2013,7207,161560,64
27070,Whittlesea (C),609,962,547,8336,1785,2013,12258,179080,19
27170,Wodonga (RC),154,211,183,1807,487,2013,2846,37307,4
27260,Wyndham (C),507,784,634,8648,1748,2013,12366,189063,45
27350,Yarra (C),793,367,1184,7214,1216,2013,10845,83508,71
27450,Yarra Ranges (S),358,481,459,3854,1124,2013,6294,149390,18
27630,Yarriambiack (S),21,32,34,165,61,2013,316,7021,3
20110,Alpine (S),39,31,90,317,98,2014,592,12019,17
20260,Ararat (RC),34,161,163,430,316,2014,1112,11139,8
20570,Ballarat (C),494,1149,853,6047,1584,2014,10139,100240,12
20660,Banyule (C),272,1599,339,5136,1168,2014,8552,125451,38
20740,Bass Coast (S),150,314,276,1273,625,2014,2641,31610,3
20830,Baw Baw (S),258,412,337,1958,708,2014,3712,45912,39
20910,Bayside (C),298,309,265,2792,486,2014,4163,99914,13
21010,Benalla (RC),72,195,103,510,333,2014,1220,13603,7
21110,Boroondara (C),384,306,365,5261,681,2014,7013,172551,16
21180,Brimbank (C),1211,2228,1063,10597,2402,2014,17535,197637,34
21270,Buloke (S),10,3,22,117,45,2014,200,6084,3
21370,Campaspe (S),95,310,277,1682,451,2014,2819,36889,4
21450,Cardinia (S),368,634,376,3310,886,2014,5628,87034,54
21610,Casey (C),972,1822,921,10278,3069,2014,17103,283215,41
21670,Central Goldfields (S),32,192,131,493,254,2014,1110,12609,8
21750,Colac-Otway (S),64,155,161,798,354,2014,1546,20504,14
21830,Corangamite (S),37,51,60,336,172,2014,662,15920,6
21890,Darebin (C),515,1264,654,10231,1666,2014,14376,148675,46
22110,East Gippsland (S),199,657,411,1702,883,2014,3877,43678,25
22170,Frankston (C),1058,2272,1671,7549,1975,2014,14572,134899,47
22250,Gannawarra (S),42,64,93,251,120,2014,573,10142,3
22490,Golden Plains (S),14,16,30,319,78,2014,458,20538,1
22620,Greater Bendigo (C),586,1334,858,4343,1373,2014,8517,107051,23
22670,Greater Dandenong (C),1124,2193,1506,8256,2825,2014,15985,149466,81
22750,Greater Geelong (C),691,1516,1491,11722,2339,2014,17783,224906,24
22830,Greater Shepparton (C),403,983,613,3869,1169,2014,7042,63131,5
22910,Hepburn (S),22,63,31,349,120,2014,587,14885,2
22980,Hindmarsh (S),20,35,21,82,53,2014,213,5642,2
23110,Hobsons Bay (C),351,544,474,4705,989,2014,7087,91118,24
23190,Horsham (RC),168,405,238,934,486,2014,2282,19691,51
23270,Hume (C),699,2113,1014,11007,2739,2014,17626,188669,54
23350,Indigo (S),29,32,53,197,109,2014,423,15341,3
23430,Kingston (C),639,952,681,6009,1365,2014,9691,153034,45
23670,Knox (C),698,739,648,6387,1465,2014,9972,155279,35
23810,Latrobe (C),672,2196,1015,4743,2535,2014,11196,73619,35
23940,Loddon (S),18,239,23,166,73,2014,520,7353,1
22310,Glen Eira (C),310,358,333,3790,584,2014,5429,144009,54
22410,Glenelg (S),94,188,197,880,300,2014,1669,19355,10
24130,Macedon Ranges (S),115,268,140,1251,352,2014,2143,44702,17
24210,Manningham (C),264,301,148,2865,582,2014,4162,118485,2
24250,Mansfield (S),29,39,66,334,91,2014,590,8217,31
24330,Maribyrnong (C),496,583,654,5673,985,2014,8404,81831,13
24410,Maroondah (C),323,1252,503,4295,1018,2014,7441,111185,50
24600,Melbourne (C),2105,3434,5046,17405,3630,2014,31779,122167,159
24650,Melton (S),513,920,557,6323,1441,2014,9762,127638,8
24780,Mildura (RC),434,657,743,3067,880,2014,5794,53018,13
24850,Mitchell (S),139,441,290,1559,751,2014,3191,38393,11
24900,Moira (S),151,164,110,727,311,2014,1468,28825,5
24970,Monash (C),507,566,462,6851,1225,2014,9642,184977,31
25060,Moonee Valley (C),453,572,476,5766,1083,2014,8364,117297,14
25150,Moorabool (S),95,142,118,1196,303,2014,1868,30911,14
25250,Moreland (C),482,876,604,9017,1539,2014,12574,163331,56
25340,Mornington Peninsula (S),495,1211,936,6139,1490,2014,10334,153749,63
25430,Mount Alexander (S),74,197,85,567,253,2014,1179,18087,3
25490,Moyne (S),165,259,119,475,332,2014,1358,16336,8
25620,Murrindindi (S),63,64,93,309,131,2014,678,13589,18
25710,Nillumbik (S),76,157,87,1495,302,2014,2126,62849,9
25810,Northern Grampians (S),87,130,107,333,248,2014,916,11715,11
25900,Port Phillip (C),717,981,1325,7474,1340,2014,11867,104813,30
25990,Pyrenees (S),12,23,26,264,96,2014,426,6791,5
26080,Queenscliffe (B),0,3,21,60,2,2014,86,3033,0
26170,South Gippsland (S),70,144,85,675,275,2014,1260,27838,11
26260,Southern Grampians (S),86,141,140,449,216,2014,1045,15906,13
26350,Stonnington (C),467,459,883,6582,800,2014,9253,105946,62
26430,Strathbogie (S),36,33,35,248,124,2014,477,9814,1
26490,Surf Coast (S),45,97,112,773,160,2014,1189,28460,2
26610,Swan Hill (RC),127,382,321,839,443,2014,2115,20574,3
26670,Towong (S),5,16,22,127,72,2014,244,5795,2
26700,Wangaratta (RC),226,373,411,988,431,2014,2437,27108,8
26730,Warrnambool (C),106,280,166,1076,416,2014,2048,33508,4
26810,Wellington (S),187,529,352,2287,924,2014,4291,42174,12
